SAMPLE STATION ID,POINT ID,lat,lon
K8H001Q01,102313.0,-33.9806,24.0214
K8H002Q01,102314.0,-33.9806,24.0506
K8H004Q01,102315.0,-34.135,24.4381
K8H005Q01,102316.0,-34.0964,24.4392
K8H006Q01,102317.0,-34.0325,24.1964
K9H001Q01,,-34.0014,24.4931
K9H002Q01,,-34.0014,24.4931
K9H003Q01,102320.0,-34.0919,24.7
K9H004Q01,,-34.0919,24.7
K9R001Q01,102323.0,-34.0014,24.4931
K9R002Q01,,-34.0919,24.7
L6H001Q01,102349.0,-33.2028,24.2356
L6H002Q01,102350.0,-33.0456,24.3333
L7H002Q01,102351.0,-33.3219,24.3472
L7H006Q01,102353.0,-33.7311,24.6183
L8H004Q01,,-33.74,24.5881
L8H006Q01,,-33.74,24.5881
L8R001Q01,102360.0,-33.74,24.5881
L9H003Q01,102362.0,-33.7775,24.8122
M1H001Q01,,-33.7356,25.3189
M1H003Q01,,-33.7,25.4381
M1H004Q01,102368.0,-33.7972,25.3086
M1H011Q01,102369.0,-33.7892,25.4269
M1H012Q01,102370.0,-33.7711,25.3867
M1H018Q01,,-33.8189,25.5592
M1H019Q01,,-33.8378,25.5706
M1H020Q01,,-33.84,25.5989
M1H021Q01,,-33.8661,25.6033
M1H022Q01,,-33.8631,25.6281
M1H023Q01,,-33.8506,25.5558
M1H024Q01,,-33.8536,25.5856
M1R001Q01,102378.0,-33.69,25.2667
M1R003Q01,102379.0,-33.7278,25.0978
M2H002Q01,,-33.8833,25.2117
M2H003Q01,102381.0,-33.9111,25.1961
M2R002Q01,102382.0,-33.8833,25.2117
N2H007Q01,102392.0,-33.0944,25.0128
N2H008Q01,102393.0,-33.0797,25.0789
N2H009Q01,102394.0,-33.1036,25.2225
N2H010Q01,,-33.2072,25.15
N2H011Q01,,-33.2072,25.15
N2R001Q01,102397.0,-33.2072,25.15
N2R001Q02,,-33.2072,25.15
N2R001Q03,,-33.2072,25.15
N2R001Q04,,-33.2072,25.15
N2R001Q05,,-33.2072,25.15
N2R001Q06,,-33.2072,25.15
N2R001Q07,,-33.2072,25.15
N2R001Q08,,-33.2072,25.15
N2R001Q09,,-33.2072,25.15
N2R001Q10,,-33.2072,25.15
N2R001Q11,,-33.2072,25.15
